,annee,code,nom,conso,dept
715581,2018,24340,prigonrieux,6.362,24
715620,2018,32334,pujaudran,7.933,32
715919,2018,62688,rang-du-fliers,5.407,62
716755,2018,32307,pavie,6.034,32
716789,2018,36154,pechereau,5.066,36
716809,2018,74209,peillonnex,8.664,74
717132,2018,13073,peypin,8.194,13
717168,2018,71351,pierre-de-bresse,5.324,71
717219,2018,25454,pirey,5.467,25
717620,2018,34207,pomerols,5.907,34
717641,2018,29218,pont-croix,4.209,29
717676,2018,47209,pont-du-casse,6.252,47
717775,2018,40229,pontenx-les-forges,6.231,40
717876,2018,17484,port-des-barques,5.338,17
717963,2018,89414,thorigny-sur-oreuse,6.498,89
720342,2018,45248,patay,6.182,45
720760,2019,74144,jonzier-épagny,8.199,74
720874,2019,67234,keskastel,4.894,67
720893,2019,57370,koenigsmacker,7.82,57
720905,2019,04079,l'escale,5.537,4
721017,2019,53015,la baconnière,7.529,53
721088,2019,17486,la brée-les-bains,3.285,17
721181,2019,72068,la chartre-sur-le-loir,4.452,72
721448,2019,77202,la genevraye,6.306,77
721521,2019,37151,la membrolle-sur-choisille,6.004,37
721540,2019,26216,la motte-de-galaure,5.811,26
721560,2019,08320,la neuville-en-tourne-à-fuy,6.856,8
721581,2019,11190,la redorte,5.202,11
722252,2019,66137,le perthus,4.558,66
722574,2019,88468,le thillot,4.285,88
722631,2019,64328,ledeuix,5.924,64
722634,2019,44081,legé,6.19,44
722635,2019,64331,lembeye,5.602,64
722636,2019,07140,lemps,6.382,7
722716,2019,85082,les epesses,6.046,85
722992,2019,34135,lespignan,5.944,34
723457,2019,57600,roussy-le-village,6.308,57
723681,2019,57602,rurange-lès-thionville,7.831,57
723684,2019,57565,rédange,4.956,57
723708,2019,22273,saint-alban,6.356,22
723717,2019,38352,saint-alban-de-roche,6.812,38
723757,2019,14556,saint-andré-sur-orne,5.16,14
723758,2019,37206,saint-antoine-du-rocher,8.278,37
723759,2019,83154,saint-antonin-du-var,8.142,83
723817,2019,37211,saint-branchs,7.238,37
723967,2019,85204,saint-christophe-du-ligneron,6.968,85
723972,2019,95541,saint-clair-sur-epte,7.473,95
724498,2019,54542,valleroy,5.776,54
724501,2019,44180,vallons-de-l'erdre,6.046,44
724547,2019,69254,valsonne,5.79,69
724861,2019,13111,vauvenargues,8.6,13
724890,2019,21661,velars-sur-ouche,6.175,21
724917,2019,36232,vendoeuvres,6.06,36
724941,2019,88500,ventron,4.447,88
725024,2019,77494,vernou-la-celle-sur-seine,8.263,77
725039,2019,62848,verquin,4.616,62
725304,2019,95652,viarmes,6.554,95
725416,2019,65471,vignec,3.083,65
725450,2019,38292,villages du lac de paladru,6.739,38
725463,2019,11418,villasavary,6.398,11
725475,2019,25620,ville-du-pont,5.47,25
725529,2019,41280,villefranche-sur-cher,6.069,41
725606,2019,25405,montperreux,6.104,25
726004,2019,80571,morisel,5.299,80
726064,2019,60433,mortefontaine-en-thelle,8.023,60
726125,2019,85156,moutiers-les-mauxfaits,6.171,85
726137,2019,63245,mozac,4.905,63
726145,2019,02532,moý-de-l'aisne,5.135,2
726146,2019,34176,mudaison,7.034,34
726147,2019,78439,mulcent,9.908,78
727244,2019,01210,lélex,1.998,1
727257,2019,77266,machault,6.687,77
727263,2019,87088,magnac-bourg,5.43,87
727287,2019,11212,mailhac,5.763,11
727667,2019,52308,maranville,5.199,52
727671,2019,77274,marcilly,7.704,77
727672,2019,27391,marcilly-sur-eure,7.375,27
727675,2019,59377,marcoing,4.967,59
727830,2019,62557,maroeuil,5.614,62
729028,2019,56255,treffléan,6.568,56
729225,2019,22344,trébrivan,4.968,22
729237,2019,22379,trévou-tréguignec,4.436,22
729278,2019,09322,ustou,2.19,9
729762,2019,66228,villeneuve-la-rivière,5.918,66
729783,2019,02360,villeneuve-sur-aisne,6.538,2
729870,2019,59619,villereau,6.303,59
729872,2019,51629,villers-allerand,7.43,51
730339,2019,89468,villevallier,5.394,89
730399,2019,14761,vimont,6.132,14
730727,2019,22287,saint-donan,6.395,22
730844,2019,17331,saint-genis-de-saintonge,5.946,17
730845,2019,30255,saint-geniès-de-malgoirès,5.978,30
730859,2019,69208,saint-germain-nuelles,8.246,69
730861,2019,85220,saint-germain-de-prinçay,6.668,85
731094,2019,45282,saint-hilaire-saint-mesmin,6.509,45
731184,2019,01360,saint-jean-de-gonville,6.917,1
731219,2019,40264,saint-jean-de-marsacq,7.086,40
731264,2019,74241,saint-jeoire,5.922,74
731276,2019,89348,saint-julien-du-sault,5.235,89
731431,2019,33438,saint-maixant,6.182,33
731514,2019,15196,saint-mamet-la-salvetat,5.397,15
731596,2019,71448,saint-martin-belle-roche,5.087,71
732129,2019,81297,terssac,6.965,81
732207,2019,60631,thiers-sur-thève,8.771,60
732209,2019,51569,thillois,7.912,51
733214,2018,02141,capelle,4.339,2
733249,2018,30068,cardet,6.956,30
733264,2018,84030,caromb,6.738,84
733367,2018,44027,casson,6.967,44
733451,2018,33109,castres-gironde,6.695,33
733463,2018,84034,caumont-sur-durance,7.565,84
733536,2018,41031,cellettes,6.665,41
733714,2018,49060,chace,5.527,49
733717,2018,25110,chaffois,6.007,25
733723,2018,77070,chailly-en-brie,7.497,77
734190,2018,24098,champcevinel,5.992,24
734192,2018,01081,champfromier,5.765,1
734451,2018,28147,favieres,8.581,28
734452,2018,77177,favieres,8.071,77
734465,2018,21263,fenay,6.15,21
734466,2018,85088,fenouiller,6.051,85
734474,2018,51248,fere-champenoise,5.728,51
734501,2018,61167,ferte-en-ouche,6.107,61
734557,2018,83057,flassans-sur-issole,7.436,83
734925,2018,78245,fontenay-mauvoisin,8.482,78
735035,2018,54205,foug,4.615,54
735049,2018,52205,foulain,5.988,52
735055,2018,30117,fourques,6.083,30
735145,2018,80345,franleu,6.01,80
735391,2018,33179,galgon,6.666,33
735709,2018,62270,divion,4.037,62
735738,2018,38147,doissin,6.761,38
735815,2018,01145,dompierre-sur-veyle,6.475,1
735871,2018,77163,douy-la-ramee,7.278,77
735994,2018,50168,ducey-les cheris,5.541,50
736128,2018,03107,ebreuil,5.569,3
736131,2018,21239,echenon,6.194,21
736132,2018,17146,echillais,6.791,17
736208,2018,72124,ecommoy,5.385,72
